global_step_index,activity,step_index,variation,variation_index,headline,paragraph
121,Make Bacon Wrapped Scallops,5,none,6,Secure the bacon with a toothpick.,"Thread a toothpick into the outer, loose end of the bacon strip. Push it into the scallop, then thread the toothpick back out through the overlapped end of the strip of bacon. This will keep the bacon wrapped around the scallop and secured to it so it won’t come apart or slip off.You can also cook up to 5 scallops on one skewer. In this case, use the skewer to secure the bacon to the scallops by pushing the point through the overlapped bacon, into the scallop and out through the other side of the wrapped scallop. Push the scallop down from the pointed end toward the handle of the skewer and repeat the process, stacking the scallops until the skewer is full."
122,Make Bacon Wrapped Scallops,6,none,7,Preheat the broiler.,The most common way to cook bacon-wrapped scallops is to broil them. Place the oven rack 6 inches from the source of heat. Set the oven to broil and allow it to preheat.
123,Make Bacon Wrapped Scallops,7,none,8,Season your scallops.,"The basic recipe for bacon-wrapped scallops is very simple. Toss the wrapped scallops in melted butter and sprinkle them with salt and pepper.You can use olive oil in place of butter. Teriyaki sauce is a common variation to the simple butter recipe. Combine 1/2 cup teriyaki sauce, 1/3 cup brown sugar, and 3 tablespoons of minced ginger in a bowl. Toss the wrapped scallops in the mixture."
124,Make Bacon Wrapped Scallops,8,none,9,Broil the scallops for 10-15 minutes.,"Line the scallops on a baking sheet. Place the baking sheet on the oven rack and allow the scallops to broil for 10-15 minutes until the bacon is cooked completely through.Flip the scallops half way through the cook time. Remove the baking sheet using an oven mitt and flip the scallops using tongs, then replace the scallops and finish broiling them."
125,Make Bacon Wrapped Scallops,9,none,10,Saturate your skewers.,"When you are cooking your scallops over an open flame, soak the toothpicks or skewers for 30 minutes before using them. The saturation keeps them from catching fire."
126,Make Bacon Wrapped Scallops,10,none,11,Prepare the grill.,"Light the grill and heat it to a medium-high setting. Brush the grate with a light coat of butter so the scallops don't stick. Once the grill is hot, brush the grate with a light coating of oil to keep the scallops from sticking."
127,Make Bacon Wrapped Scallops,11,none,12,Grill the scallops.,Spread the bacon wrapped scallops evenly across the grill. Cook them until the scallops have just cooked all the way through. This should take about 7 minutes. Flip the scallops often during the grilling process so that they cook evenly and don't burn.You can tell the scallops are finished when you see them change from translucent to opaque. Cut a scallop open to check if it is finished.
128,Make Bacon Wrapped Scallops,12,none,13,Finished.,
129,Make Poutine,0,A,A1,Prepare the potatoes.,Cut the potatoes so they are each about 1/3 - 1/4 inch thick. Put them in a large bowl filled with cold water and refrigerate them for about 2 hours.;
130,Make Poutine,1,A,A2,Heat the butter.,Place 4 tbsp. of unsalted butter in a saucepan and heat it up over medium-high heat.
131,Make Poutine,2,A,A3,Add the flour to the butter.,Add 1/4 cup of flour into the butter and stir it until it is smooth. This should take about 2 minutes.
132,Make Poutine,3,A,A4,Add the garlic and shallot.,"Add one minced clove of garlic and one minced shallot to the mixture and cook them until they are soft, for another 2 or so minutes."
133,Make Poutine,4,A,A5,"Add the stock, ketchup, Worcestershire sauce, peppercorns, and salt and pepper to the mixture.","Add 4 cups of beef stock, 2 tbsp. of ketchup, ½ tsp. Worcestershire sauce, 1 tbsp. peppercorns, and salt and pepper to taste to the mixture. Stir the ingredients together until they have thickened a bit, which should take about 5-6 minutes."
134,Make Poutine,5,A,A6,Remove from heat and set aside.,You have made the gravy that you will pour over the potatoes.
135,Make Poutine,6,A,A7,Cook the potatoes.,"Drain the potatoes and dry them with paper towels before you fry them. Pour canola oil into a pan and heat it up over medium-high heat. Then, place the potatoes in the pan and stir them to get them in the oil evenly, until they are golden brown and fully cooked."
136,Make Poutine,7,A,A8,Drain the potatoes and let them cool.,Place the potatoes on paper towels to drain the excess oil and then have them cool for about 20 minutes.
137,Make Poutine,8,A,A9,Serve.,"Place the potatoes on a plate and pour the gravy over them, topping it with 2 cups of cheese curd. Enjoy this dish as a main course while it's nice and hot."
138,Make Poutine,9,B,B1,Cook the white onion in butter until it is transparent.,"Thinly dice 1 white onion and then cook it in 2 tbsp. of butter, stirring lightly until it's transparent. This should take about 3-4 minutes, depending on the size of the onion."
139,Make Poutine,10,B,B2,"Add the garlic and onion powder, flour, and cornstarch.","Add 1 tsp. of garlic powder, 1 tsp. of onion powder, 2 tbsp. of flour, and 2 tsp. of cornstarch to the onion mixture. Continue to stir the ingredients together until they have absorbed all of the butter. This should take another minute or so."
140,Make Poutine,11,B,B3,Add the soy sauce and vegetable broth to the mixture.,Stir the ingredients together and let everything simmer for about 10 minutes. Add a little more butter or broth if the mixture becomes too solid.
141,Make Poutine,12,B,B4,Set the mixture aside.,"If you'd like it to be extra smooth, you can put the ingredients in an immersion blender and purée them, but this is not necessary."
142,Make Poutine,13,B,B5,Prepare the potatoes.,"Peel and cut 6 white Idaho potatoes into long, thin strings that are each about 1⁄3 inch (0.8 cm) thick. Rinse the potatoes a bit after you cut them to cut down on the starchiness. To soften up the potatoes, you can boil a pot of water and blanch them for 4 minutes first, but this is not necessary.   If you can handle it, of course, you can prepare the gravy at the same time as you prepare the potatoes. You just have to be very vigilant."
143,Make Poutine,14,B,B6,Heat the oil.,"Pour the vegetable oil onto a saucepan and heat it up under medium high heat. Then, add the cut potatoes and cook them until they are golden brown."
144,Make Poutine,15,B,B7,Add the gravy to the potatoes.,Place the cooked potatoes on a paper towel to drain some of the oil and then add the gravy and one bag of cheese curds.
145,Make Poutine,16,B,B8,Serve.,Enjoy this dish on its own while it's hot.
146,Make Hostess Twinkies,0,none,1,"Get a large bowl and combine the sugar, flour, baking powder, and salt.","Create a hole in the middle (like a well). Then add the egg yolks, water, oil, and vanilla. Mix everything together until you get a smooth mixture. Put the bowl on the side.;"
147,Make Hostess Twinkies,1,none,2,Get another bowl and mix the cream of tartar with the egg whites.,Beat them together until you get a stiff peak.
148,Make Hostess Twinkies,2,none,3,Take the egg white mixture and pour it into the first mixture you made.,Mix everything until all the ingredients are well combined.
149,Make Hostess Twinkies,3,none,4,Pour the final mixture in a 10 x 14 inch (25cm x 35cm) pan; there is no need to grease it.,Place it in the oven at 350ºF/180ºC for about 45 to 50 minutes.
150,Make Hostess Twinkies,4,none,5,Let the cake cool on the side.,"Turn the pan upside down as you get it out, then take the edges off with a knife."
151,Make Hostess Twinkies,5,none,6,Carefully cut the cake horizontally to get two layers.,
152,Make Hostess Twinkies,6,none,7,"Get a bowl and mix the sugar, flour, and butter together.",Beat for five minutes on a high speed and slowly mix in the vanilla and milk.
153,Make Hostess Twinkies,7,none,8,Continue beating everything together for another five minutes.,
154,Make Hostess Twinkies,8,none,9,Spread the filling mixture on the two cake layers.,
155,Make Hostess Twinkies,9,none,10,Cut the cake into small squares (about 3 x 1 inches/7.5cm x 2.5cm).,Wrap the individual pieces in Saran wrap.
156,Make Hostess Twinkies,10,none,11,Finished.,
157,Make Yorkshire Pudding,0,none,1,Cover the roasting tin's bottom with the oil.,Place the tin in the oven for the oil to heat up at 425 °F (218 °C) or 220 C. Use a cupcake tin if you want to make individual servings.;
158,Make Yorkshire Pudding,1,none,2,Sift the flour into a bowl with sieve.,"Then, create a ""well"" or a hole in the middle of the flour."
159,Make Yorkshire Pudding,2,none,3,Break the eggs and place them into the hole.,Mix the eggs and flour thoroughly with the wire whisk.
160,Make Yorkshire Pudding,3,none,4,Pour in the milk and add salt and pepper (to taste).,Try to make a smooth mixture with everything.—You may use a hand blender to make it easier.
161,Make Yorkshire Pudding,4,none,5,Wait until the oil is very hot.,Add the batter.—It should sizzle as you pour it in.
162,Make Yorkshire Pudding,5,none,6,Place the tin back in the oven.,Bake for about 15 to 20 minutes. The pudding should rise and get golden brown in color.
163,Make Yorkshire Pudding,6,none,7,Remove from the oven and serve immediately.,"If the pudding sits for a while or if you wait, the pudding may get soggy."
164,Make Caldo de Res,0,none,1,Cut the beef.,"Use a sharp knife to cut the beef into 1/2 inch (1.25 cm) pieces. Leave some of the beef on the bones.Beef shank and beef short ribs are both good options, but you can use nearly any bone-in cut of meat. You need to use the bones in the soup, even if you completely remove the beef from the bones while cutting it. The bone marrow helps flavor the broth.;"
